layer,csv_path,sol_mean_prob,sol_ratio,ppl_mean,ppl_median,ppl_std
0,results/single_layer_steering/layer_0.csv,0.30551234,0.28,7.228379237802642,6.1051958352802655,3.542971414549789
1,results/single_layer_steering/layer_1.csv,0.30788478,0.31,7.432511351531575,6.098492429269003,3.618961959691428
2,results/single_layer_steering/layer_2.csv,0.31153613,0.3,6.9917073492707535,6.048336693014548,3.12533522273722
3,results/single_layer_steering/layer_3.csv,0.3150477,0.29,7.157452789358432,6.119165053667139,3.5649063993062424
4,results/single_layer_steering/layer_4.csv,0.26941407,0.22,7.070567271483538,6.089062257411401,3.25512195543325
5,results/single_layer_steering/layer_5.csv,0.28659552,0.26,7.130037193596951,6.196896845803396,3.426395646395123
6,results/single_layer_steering/layer_6.csv,0.2989872,0.28,7.201078727599058,6.124994077488976,3.397451105374522
7,results/single_layer_steering/layer_7.csv,0.29635125,0.25,7.104910638910862,6.274584850526216,3.2973953267568152
8,results/single_layer_steering/layer_8.csv,0.24068075,0.22,7.251578884183547,6.071716611846938,3.4971362235314363
9,results/single_layer_steering/layer_9.csv,0.29608327,0.25,7.1855047418249205,6.202326944931581,3.3295748363993876
10,results/single_layer_steering/layer_10.csv,0.30135635,0.3,7.082949985954158,6.103602182182897,3.3775161626523795
11,results/single_layer_steering/layer_11.csv,0.29787913,0.26,7.131961626475922,6.219503701531337,3.265552673016859
12,results/single_layer_steering/layer_12.csv,0.24098456,0.19,7.089366950781847,6.103112208425099,3.386848954029721
13,results/single_layer_steering/layer_13.csv,0.2830406,0.21,7.001362146223386,6.223903107907349,3.1947002753210847
14,results/single_layer_steering/layer_14.csv,0.24329883,0.23,7.243976513072297,6.070028219721842,3.4568298582329704
15,results/single_layer_steering/layer_15.csv,0.2691974,0.24,7.192243849802829,6.422629658308436,3.3474215813609662
16,results/single_layer_steering/layer_16.csv,0.3080253,0.28,7.38292980704439,6.269478625419091,3.474031300144175
17,results/single_layer_steering/layer_17.csv,0.3303589,0.32,7.013236334902189,6.24898674200648,3.105892290873055
18,results/single_layer_steering/layer_18.csv,0.31609675,0.32,7.3261254509861455,6.2335207827739945,3.274245941212724
19,results/single_layer_steering/layer_19.csv,0.2929616,0.29,7.293812546256419,6.2685031709521635,3.4859442654821393
20,results/single_layer_steering/layer_20.csv,0.3018092,0.22,7.20216726976557,6.398236534886948,3.182855940742929
21,results/single_layer_steering/layer_21.csv,0.2889191,0.24,7.459526907805926,6.246834476673715,3.520381144889993
22,results/single_layer_steering/layer_22.csv,0.3011823,0.26,7.245493561131687,6.362419849698093,3.5163741903332184
23,results/single_layer_steering/layer_23.csv,0.29281953,0.24,7.191176248884774,6.350053504291436,3.3839009827623334
24,results/single_layer_steering/layer_24.csv,0.29095727,0.28,7.452665413382139,6.260261577403808,3.5826728361056457
25,results/single_layer_steering/layer_25.csv,0.27760962,0.25,7.224422888860676,6.098330870099881,3.3264454155229997
26,results/single_layer_steering/layer_26.csv,0.2977935,0.31,7.31756771598413,6.3975431444393625,3.554789967546689
27,results/single_layer_steering/layer_27.csv,0.30836946,0.3,7.251009937925115,6.256994569129391,3.503599678372543
28,results/single_layer_steering/layer_28.csv,0.29210493,0.26,7.283775869440137,6.5193594717704455,3.3776500923644464
29,results/single_layer_steering/layer_29.csv,0.30849108,0.27,7.330164590503378,6.462592804747599,3.437537755145314
30,results/single_layer_steering/layer_30.csv,0.29566386,0.27,7.071802842293273,6.044583247461233,3.1632950375304802
31,results/single_layer_steering/layer_31.csv,0.25669762,0.22,7.650365265977776,6.594865046599129,3.6839695126016077
32,results/single_layer_steering/layer_32.csv,0.25871584,0.24,7.534007155044742,6.545082767049669,3.3547544802911307
